PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
0.168,0.194,0.471,0.032,0.084,0.168,0.465,0.245,0.045,0.471,0.529
0.149,0.164,0.5,0.033,0.08,0.149,0.458,0.241,0.042,0.47,0.53
0.032,0.145,0.774,0.032,0.129,0.032,0.726,0.081,0.032,0.5,0.5
0.122,0.16,0.517,0.041,0.08,0.122,0.506,0.207,0.047,0.503,0.497
0.156,0.189,0.511,0.056,0.096,0.156,0.515,0.252,0.033,0.522,0.478
0.37,0.174,0.413,0.022,0.043,0.37,0.413,0.435,0.043,0.435,0.565
0.165,0.207,0.465,0.109,0.058,0.165,0.5,0.292,0.039,0.485,0.515
0.164,0.143,0.5,0.028,0.089,0.164,0.484,0.232,0.023,0.469,0.531
0.147,0.173,0.489,0.031,0.107,0.147,0.44,0.227,0.053,0.471,0.529
0.156,0.102,0.56,0.027,0.075,0.156,0.512,0.201,0.009,0.473,0.527
0.148,0.245,0.432,0.045,0.097,0.148,0.432,0.245,0.032,0.465,0.535
0.163,0.154,0.51,0.038,0.087,0.163,0.481,0.26,0.048,0.385,0.615
0.158,0.173,0.473,0.033,0.085,0.158,0.46,0.243,0.028,0.455,0.545
0.144,0.215,0.497,0.097,0.072,0.144,0.564,0.267,0.103,0.574,0.426
0.162,0.144,0.468,0.027,0.054,0.162,0.459,0.279,0.054,0.468,0.532
0.112,0.207,0.479,0.052,0.118,0.112,0.487,0.243,0.039,0.585,0.415
0.139,0.255,0.426,0.051,0.09,0.139,0.466,0.242,0.037,0.481,0.519
0.147,0.157,0.541,0.039,0.085,0.147,0.477,0.219,0.031,0.482,0.518
0.165,0.177,0.49,0.056,0.056,0.165,0.431,0.281,0.017,0.595,0.405
0.123,0.207,0.497,0.05,0.101,0.123,0.486,0.24,0.039,0.537,0.463
0.22,0.118,0.528,0.016,0.031,0.22,0.48,0.276,0.008,0.551,0.449
0.176,0.181,0.452,0.024,0.105,0.176,0.462,0.252,0.024,0.424,0.576
0.136,0.175,0.514,0.027,0.066,0.136,0.514,0.218,0.033,0.592,0.408
0.142,0.153,0.561,0.047,0.071,0.142,0.537,0.217,0.035,0.536,0.464
0.142,0.208,0.478,0.066,0.101,0.142,0.462,0.255,0.041,0.526,0.474
0.16,0.202,0.466,0.053,0.077,0.16,0.463,0.243,0.015,0.427,0.573
0.093,0.167,0.481,0.093,0.111,0.093,0.481,0.204,0.093,0.556,0.444
0.138,0.215,0.45,0.079,0.057,0.138,0.481,0.273,0.04,0.521,0.479
0.143,0.21,0.508,0.051,0.062,0.143,0.508,0.226,0.044,0.501,0.499
